participant_id,condition,disclosure_specificity,accountability_cue,confidence_texture,confidence_gloss,confidence_shape,confidence_stitching,confidence_colour,dv_mean_undisclosed,scope_identified_changes,scope_unmentioned_unchanged,scope_inference_mean,manipulation_disclosure,manipulation_accountability,recent_online_purchase,prior_genai_exposure
P001,A,generic,absent,45,47,48,52,72,48.0,3,3,3.0,not_specified,no,yes,yes
P002,A,generic,absent,51,49,52,49,53,50.25,3,3,3.0,not_specified,no,yes,yes
P003,A,generic,absent,56,67,61,61,64,61.25,2,3,2.5,not_specified,no,yes,yes
P004,A,generic,absent,45,49,50,46,67,47.5,4,3,3.5,not_specified,yes,yes,yes
P005,A,generic,absent,61,65,56,57,72,59.75,4,5,4.5,not_specified,no,yes,yes
P006,A,generic,absent,46,49,52,51,69,49.5,4,4,4.0,not_specified,no,yes,yes
P007,A,generic,absent,48,55,54,59,58,54.0,4,3,3.5,not_specified,no,yes,yes
P008,A,generic,absent,55,51,55,54,61,53.75,2,5,3.5,not_specified,no,yes,yes
P009,A,generic,absent,53,54,56,58,56,55.25,3,3,3.0,not_specified,no,yes,yes
P010,A,generic,absent,49,52,47,46,75,48.5,4,3,3.5,not_specified,no,yes,yes
P011,A,generic,absent,45,53,55,59,71,53.0,3,3,3.0,not_specified,unsure,yes,yes
P012,B,attribute-specific,absent,63,66,63,57,60,62.25,4,5,4.5,colour,no,yes,yes
P013,B,attribute-specific,absent,56,49,53,47,42,51.25,4,4,4.0,colour,unsure,yes,yes
P014,B,attribute-specific,absent,61,64,58,70,52,63.25,4,4,4.0,colour,no,yes,yes
P015,B,attribute-specific,absent,56,57,66,62,50,60.25,5,5,5.0,colour,no,yes,yes
P016,B,attribute-specific,absent,71,71,66,71,52,69.75,4,4,4.0,colour,no,yes,yes
P017,B,attribute-specific,absent,51,51,61,56,55,54.75,5,5,5.0,colour,no,yes,yes
P018,B,attribute-specific,absent,54,55,51,52,54,53.0,5,4,4.5,colour,no,yes,yes
P019,B,attribute-specific,absent,60,61,49,56,56,56.5,3,3,3.0,colour,yes,yes,yes
P020,B,attribute-specific,absent,61,67,64,66,36,64.5,5,4,4.5,not_specified,no,yes,yes
P021,B,attribute-specific,absent,61,60,57,61,51,59.75,6,4,5.0,colour,no,yes,yes
P022,B,attribute-specific,absent,54,63,56,59,47,58.0,5,4,4.5,colour,no,yes,yes
P023,C,generic,present,60,66,59,62,66,61.75,4,4,4.0,not_specified,yes,yes,yes
P024,C,generic,present,52,48,52,55,73,51.75,3,5,4.0,not_specified,yes,yes,yes
P025,C,generic,present,66,66,66,62,81,65.0,4,4,4.0,not_specified,yes,yes,yes
P026,C,generic,present,49,55,51,49,73,51.0,4,3,3.5,colour,yes,yes,yes
P027,C,generic,present,56,61,59,59,60,58.75,4,3,3.5,not_specified,yes,yes,yes
P028,C,generic,present,62,58,57,61,77,59.5,4,4,4.0,not_specified,yes,yes,yes
P029,C,generic,present,50,55,54,54,77,53.25,5,4,4.5,not_specified,yes,yes,yes
P030,C,generic,present,62,65,66,58,61,62.75,4,5,4.5,not_specified,yes,yes,yes
P031,C,generic,present,43,55,49,48,62,48.75,4,4,4.0,not_specified,no,yes,yes
P032,C,generic,present,59,59,67,59,58,61.0,3,5,4.0,not_specified,yes,yes,yes
P033,C,generic,present,57,62,64,64,64,61.75,4,4,4.0,not_specified,yes,yes,yes
P034,D,attribute-specific,present,76,82,83,77,59,79.5,6,5,5.5,colour,yes,yes,yes
P035,D,attribute-specific,present,75,73,72,67,45,71.75,6,6,6.0,colour,yes,yes,yes
P036,D,attribute-specific,present,74,79,77,81,43,77.75,5,6,5.5,colour,yes,yes,yes
P037,D,attribute-specific,present,70,74,77,74,47,73.75,7,5,6.0,colour,yes,yes,yes
P038,D,attribute-specific,present,80,86,87,80,58,83.25,6,7,6.5,colour,yes,yes,yes
P039,D,attribute-specific,present,74,77,81,77,57,77.25,5,7,6.0,not_specified,yes,yes,yes
P040,D,attribute-specific,present,79,72,81,84,53,79.0,6,5,5.5,colour,yes,yes,yes
P041,D,attribute-specific,present,87,89,81,86,50,85.75,5,6,5.5,colour,yes,yes,yes
P042,D,attribute-specific,present,72,72,75,72,62,72.75,6,6,6.0,colour,yes,yes,yes
P043,D,attribute-specific,present,76,80,78,75,53,77.25,6,7,6.5,unsure,yes,yes,yes
P044,D,attribute-specific,present,69,68,66,78,56,70.25,6,7,6.5,colour,yes,yes,yes
P045,D,attribute-specific,present,74,81,78,78,55,77.75,7,7,7.0,colour,yes,yes,yes
